flow_id,window_id,pkt_count,size_mean,size_std,size_min,size_max,bytes_total,iat_mean,iat_std,iat_max,iat_min,proto,Label
"('10.1.1.15', '192.168.1.4', '192.168.1.4')",0,2,144.0,2.0,142,146,288,0.02239350000000001,0.02239350000000001,0.04478700000000002,0.0,6,Web_Traffic
"('192.168.1.4', '10.1.1.15', '192.168.1.4')",0,1,138.0,0.0,138,138,138,0.0,0.0,0.0,0.0,6,Web_Traffic
"('10.1.1.16', '192.168.1.5', '192.168.1.5')",1,39,293.0,0.0,293,293,11427,0.021123435897435892,0.0038113470987866474,0.024476000000000164,0.0,17,VoIP_Call
"('10.1.1.2', '192.168.1.5', '192.168.1.5')",1,8,317.0,0.0,317,317,2536,0.020936125,0.008203304432323288,0.024877999999999956,0.0,17,VoIP_Call
"('10.1.1.11', '192.168.1.4', '192.168.1.4')",2,2,144.0,2.0,142,146,288,0.009179999999999966,0.009179999999999966,0.018359999999999932,0.0,6,Web_Traffic
"('10.1.1.16', '192.168.1.5', '192.168.1.5')",2,46,293.0,0.0,293,293,13478,0.02187486956521739,0.0006503768342007874,0.024742000000000264,0.018758000000000052,17,VoIP_Call
"('10.1.1.17', '192.168.1.4', '192.168.1.4')",2,2,144.0,2.0,142,146,288,0.0023444999999999716,0.0023444999999999716,0.004688999999999943,0.0,6,Web_Traffic
"('10.1.1.2', '192.168.1.5', '192.168.1.5')",2,40,317.0,0.0,317,317,12680,0.0248798,0.0002578575381871948,0.026037999999999784,0.02406900000000034,17,VoIP_Call
"('10.1.1.8', '192.168.1.5', '192.168.1.5')",2,6,291.0,0.0,291,291,1746,0.01664733333333331,0.008022744951421247,0.021628000000000203,0.0,17,VoIP_Call
"('192.168.1.4', '10.1.1.11', '192.168.1.4')",2,1,138.0,0.0,138,138,138,0.0,0.0,0.0,0.0,6,Web_Traffic
"('192.168.1.4', '10.1.1.17', '192.168.1.4')",2,1,138.0,0.0,138,138,138,0.0,0.0,0.0,0.0,6,Web_Traffic
"('10.1.1.16', '192.168.1.5', '192.168.1.5')",3,45,293.0,0.0,293,293,13185,0.021875400000000007,0.000717376281242214,0.024261000000000088,0.019862999999999964,17,VoIP_Call
"('10.1.1.18', '192.168.1.5', '192.168.1.5')",3,41,304.0,0.0,304,304,12464,0.021900999999999997,0.0051300994855565385,0.028344000000000147,0.0,17,VoIP_Call
"('10.1.1.2', '192.168.1.5', '192.168.1.5')",3,41,317.0,0.0,317,317,12997,0.0248880731707317,0.004722920605242729,0.04497099999999987,0.0031720000000001747,17,VoIP_Call
"('10.1.1.5', '192.168.1.3', '192.168.1.3')",3,11,1432.0,0.0,1432,1432,15752,0.005540727272727253,0.007692991167773252,0.020605999999999902,0.0,17,Camera_IP
"('10.1.1.7', '192.168.1.4', '192.168.1.4')",3,2,144.0,2.0,142,146,288,0.007364999999999844,0.007364999999999844,0.014729999999999688,0.0,6,Web_Traffic
"('10.1.1.8', '192.168.1.5', '192.168.1.5')",3,47,291.0,0.0,291,291,13677,0.021625361702127664,0.000703383537685076,0.02366699999999966,0.019670000000000076,17,VoIP_Call
"('10.1.1.9', '192.168.1.3', '192.168.1.3')",3,66,1336.0,0.0,1336,1336,88176,0.005070530303030305,0.0012204665677605074,0.008218999999999976,0.0,17,Camera_IP
"('192.168.1.4', '10.1.1.7', '192.168.1.4')",3,1,138.0,0.0,138,138,138,0.0,0.0,0.0,0.0,6,Web_Traffic
"('10.1.1.12', '192.168.1.5', '192.168.1.5')",4,18,294.0,0.0,294,294,5292,0.020046222222222236,0.005744145111479117,0.02322000000000024,0.0,17,VoIP_Call
"('10.1.1.13', '192.168.1.5', '192.168.1.5')",4,11,296.0,0.0,296,296,3256,0.021100818181818214,0.015235130979645031,0.04146699999999992,0.0,17,VoIP_Call
"('10.1.1.16', '192.168.1.5', '192.168.1.5')",4,47,293.0,0.0,293,293,13771,0.02140995744680851,0.0032559332678968747,0.026637000000000022,0.005028999999999506,17,VoIP_Call
"('10.1.1.17', '192.168.1.4', '192.168.1.4')",4,15,495.06666666666666,197.4353790202984,284,680,7426,0.18362373333333334,0.6836604734704177,2.7416310000000004,0.0,6,Web_Traffic
"('10.1.1.18', '192.168.1.5', '192.168.1.5')",4,46,304.0,0.0,304,304,13984,0.021733934782608703,0.007742611365464363,0.04868600000000001,0.0004670000000004393,17,VoIP_Call
"('10.1.1.2', '192.168.1.5', '192.168.1.5')",4,41,317.0,0.0,317,317,12997,0.02425173170731708,0.004008039688866738,0.02970499999999987,0.00021800000000027353,17,VoIP_Call
"('10.1.1.5', '192.168.1.3', '192.168.1.3')",4,128,1432.0,0.0,1432,1432,183296,0.008495148437500002,0.021838740003106392,0.24733800000000006,0.0,17,Camera_IP
"('10.1.1.8', '192.168.1.5', '192.168.1.5')",4,46,291.0,0.0,291,291,13386,0.021625326086956515,0.001294271661127499,0.024823999999999735,0.016801000000000066,17,VoIP_Call
"('10.1.1.9', '192.168.1.3', '192.168.1.3')",4,191,1336.0,0.0,1336,1336,255176,0.005215219895287958,0.001432716098051044,0.010741999999999585,0.0,17,Camera_IP
"('10.1.1.11', '192.168.1.4', '192.168.1.4')",5,4,445.25,234.7523961539051,209,680,1781,0.7784804999999999,1.3483677787016233,3.1139219999999996,0.0,6,Web_Traffic
"('10.1.1.12', '192.168.1.5', '192.168.1.5')",5,46,294.0,0.0,294,294,13524,0.022003282608695638,0.000739959889131564,0.02399500000000021,0.020000999999999713,17,VoIP_Call
"('10.1.1.13', '192.168.1.5', '192.168.1.5')",5,46,296.0,0.0,296,296,13616,0.021937260869565205,0.005814938754153433,0.033974000000000615,0.0,17,VoIP_Call
"('10.1.1.16', '192.168.1.5', '192.168.1.5')",5,47,293.0,0.0,293,293,13771,0.021409999999999995,0.003261603919494137,0.025765999999999956,0.00035600000000002296,17,VoIP_Call
"('10.1.1.17', '192.168.1.4', '192.168.1.4')",5,75,678.8533333333334,0.9891859728528749,678,680,50914,0.014687079999999995,0.032989528883676636,0.20065200000000072,0.0,6,Web_Traffic
"('10.1.1.18', '192.168.1.5', '192.168.1.5')",5,43,304.0,0.0,304,304,13072,0.023250418604651154,0.0020839462814190067,0.031617999999999924,0.014897999999999634,17,VoIP_Call
"('10.1.1.2', '192.168.1.5', '192.168.1.5')",5,40,317.0,0.0,317,317,12680,0.024875399999999992,0.0007596133490137665,0.027108999999999384,0.022554000000000407,17,VoIP_Call
"('10.1.1.5', '192.168.1.3', '192.168.1.3')",5,148,1432.0,0.0,1432,1432,211936,0.0067729864864864864,0.0002481004587969257,0.007664999999999367,0.005447999999999453,17,Camera_IP
"('10.1.1.8', '192.168.1.5', '192.168.1.5')",5,46,291.0,0.0,291,291,13386,0.02162526086956523,0.0007521787898811293,0.023786000000000307,0.01994600000000002,17,VoIP_Call
"('10.1.1.9', '192.168.1.3', '192.168.1.3')",5,192,1336.0,0.0,1336,1336,256512,0.005211989583333336,0.000684343777747378,0.007077999999999918,0.002893999999999508,17,Camera_IP
